window_s,horizon_s,temp_cap_c,experiment,positive,negative,total,max_retained_temperature_c,first_window_end_s,last_window_end_s
120,120,150,TS0330H,0,33,33,149.55604312938817,157.0,477.0
120,180,80,TS0330A,0,8,8,78.58411892675852,216.0,286.0
120,180,80,TS0330B,0,5,5,77.21733196861139,173.0,213.0
120,180,80,TS0330C,0,2,2,79.30834294502114,149.0,159.0
120,180,80,TS0330D,0,1,1,76.9018578352181,153.0,153.0
120,180,80,TS0330E,0,3,3,79.8099730458221,154.0,174.0
120,180,80,TS0330F,0,3,3,76.73949579831933,170.0,190.0
120,180,80,TS0330G,0,2,2,79.47016791711324,142.0,152.0
120,180,80,TS0330H,0,4,4,78.20803159973667,157.0,187.0
120,180,100,TS0330A,0,13,13,99.70857142857143,216.0,336.0
120,180,100,TS0330B,0,10,10,97.52116050039926,173.0,263.0
120,180,100,TS0330C,0,6,6,98.70768723193665,149.0,199.0
120,180,100,TS0330D,0,5,5,97.2688896771905,153.0,193.0
120,180,100,TS0330E,0,8,8,99.20208023774146,154.0,224.0
120,180,100,TS0330F,0,7,7,96.54005340453939,170.0,230.0
120,180,100,TS0330G,0,6,6,97.9412148922273,142.0,192.0
120,180,100,TS0330H,0,8,8,96.3024021059559,157.0,227.0
120,180,120,TS0330A,0,19,19,118.47025089605735,216.0,396.0
120,180,120,TS0330B,0,17,17,117.81861958266452,173.0,333.0
120,180,120,TS0330C,0,12,12,119.64703442554956,149.0,259.0
120,180,120,TS0330D,0,11,11,119.7448046550291,153.0,253.0
120,180,120,TS0330E,0,15,15,117.95969891798651,154.0,294.0
120,180,120,TS0330F,0,13,13,119.15300316122234,170.0,290.0
120,180,120,TS0330G,0,11,11,117.39059808023627,142.0,242.0
120,180,120,TS0330H,0,14,14,119.09358288770053,157.0,287.0
120,180,150,TS0330A,0,41,41,149.47841538622347,216.0,616.0
120,180,150,TS0330B,0,41,41,148.52661199549766,173.0,573.0
120,180,150,TS0330C,0,33,33,149.31518791166215,149.0,469.0
120,180,150,TS0330D,0,32,32,149.98111608764071,153.0,463.0
120,180,150,TS0330E,4,35,39,149.96314067611777,154.0,534.0
120,180,150,TS0330F,0,33,33,149.20642689934027,170.0,490.0
120,180,150,TS0330G,0,31,31,150.0,142.0,442.0
120,180,150,TS0330H,3,30,33,149.55604312938817,157.0,477.0
120,300,80,TS0330A,0,8,8,78.58411892675852,216.0,286.0
120,300,80,TS0330B,0,5,5,77.21733196861139,173.0,213.0
120,300,80,TS0330C,0,2,2,79.30834294502114,149.0,159.0
120,300,80,TS0330D,0,1,1,76.9018578352181,153.0,153.0
120,300,80,TS0330E,0,3,3,79.8099730458221,154.0,174.0
120,300,80,TS0330F,0,3,3,76.73949579831933,170.0,190.0
120,300,80,TS0330G,0,2,2,79.47016791711324,142.0,152.0
120,300,80,TS0330H,0,4,4,78.20803159973667,157.0,187.0
120,300,100,TS0330A,0,13,13,99.70857142857143,216.0,336.0
120,300,100,TS0330B,0,10,10,97.52116050039926,173.0,263.0
120,300,100,TS0330C,0,6,6,98.70768723193665,149.0,199.0
120,300,100,TS0330D,0,5,5,97.2688896771905,153.0,193.0
120,300,100,TS0330E,0,8,8,99.20208023774146,154.0,224.0
120,300,100,TS0330F,0,7,7,96.54005340453939,170.0,230.0
120,300,100,TS0330G,0,6,6,97.9412148922273,142.0,192.0
120,300,100,TS0330H,0,8,8,96.3024021059559,157.0,227.0
120,300,120,TS0330A,0,19,19,118.47025089605735,216.0,396.0
120,300,120,TS0330B,0,17,17,117.81861958266452,173.0,333.0
120,300,120,TS0330C,0,12,12,119.64703442554956,149.0,259.0
120,300,120,TS0330D,0,11,11,119.7448046550291,153.0,253.0
120,300,120,TS0330E,0,15,15,117.95969891798651,154.0,294.0
120,300,120,TS0330F,0,13,13,119.15300316122234,170.0,290.0
120,300,120,TS0330G,0,11,11,117.39059808023627,142.0,242.0
120,300,120,TS0330H,0,14,14,119.09358288770053,157.0,287.0
120,300,150,TS0330A,11,30,41,149.47841538622347,216.0,616.0
120,300,150,TS0330B,8,33,41,148.52661199549766,173.0,573.0
120,300,150,TS0330C,3,30,33,149.31518791166215,149.0,469.0
120,300,150,TS0330D,7,25,32,149.98111608764071,153.0,463.0
120,300,150,TS0330E,16,23,39,149.96314067611777,154.0,534.0
120,300,150,TS0330F,11,22,33,149.20642689934027,170.0,490.0
120,300,150,TS0330G,7,24,31,150.0,142.0,442.0
120,300,150,TS0330H,15,18,33,149.55604312938817,157.0,477.0
256,60,80,TS0330A,0,0,0,,,
256,60,80,TS0330B,0,0,0,,,
256,60,80,TS0330C,0,0,0,,,
256,60,80,TS0330D,0,0,0,,,
256,60,80,TS0330E,0,0,0,,,
256,60,80,TS0330F,0,0,0,,,
256,60,80,TS0330G,0,0,0,,,
256,60,80,TS0330H,0,0,0,,,
256,60,100,TS0330A,0,0,0,,,
256,60,100,TS0330B,0,0,0,,,
256,60,100,TS0330C,0,0,0,,,
256,60,100,TS0330D,0,0,0,,,
256,60,100,TS0330E,0,0,0,,,
256,60,100,TS0330F,0,0,0,,,
256,60,100,TS0330G,0,0,0,,,
256,60,100,TS0330H,0,0,0,,,
256,60,120,TS0330A,0,5,5,117.74289985052317,352.0,392.0
256,60,120,TS0330B,0,4,4,119.7132542547705,309.0,339.0
256,60,120,TS0330C,0,0,0,,,
256,60,120,TS0330D,0,0,0,,,
256,60,120,TS0330E,0,2,2,119.40400542087035,290.0,300.0
256,60,120,TS0330F,0,0,0,,,
256,60,120,TS0330G,0,0,0,,,
256,60,120,TS0330H,0,0,0,,,
256,60,150,TS0330A,0,27,27,148.64220758858576,352.0,612.0
256,60,150,TS0330B,0,28,28,149.5914457131798,309.0,579.0
256,60,150,TS0330C,0,19,19,148.5402944595118,285.0,465.0
256,60,150,TS0330D,0,18,18,149.4969132066336,289.0,459.0
256,60,150,TS0330E,0,25,25,149.09073064340242,290.0,530.0
256,60,150,TS0330F,0,19,19,148.35518195360714,306.0,486.0
256,60,150,TS0330G,0,17,17,150.0,278.0,438.0
256,60,150,TS0330H,0,19,19,149.05453861584755,293.0,473.0
256,120,80,TS0330A,0,0,0,,,
256,120,80,TS0330B,0,0,0,,,
256,120,80,TS0330C,0,0,0,,,
256,120,80,TS0330D,0,0,0,,,
256,120,80,TS0330E,0,0,0,,,
256,120,80,TS0330F,0,0,0,,,
256,120,80,TS0330G,0,0,0,,,
256,120,80,TS0330H,0,0,0,,,
256,120,100,TS0330A,0,0,0,,,
256,120,100,TS0330B,0,0,0,,,
256,120,100,TS0330C,0,0,0,,,
256,120,100,TS0330D,0,0,0,,,
256,120,100,TS0330E,0,0,0,,,
256,120,100,TS0330F,0,0,0,,,
256,120,100,TS0330G,0,0,0,,,
256,120,100,TS0330H,0,0,0,,,
256,120,120,TS0330A,0,5,5,117.74289985052317,352.0,392.0
256,120,120,TS0330B,0,4,4,119.7132542547705,309.0,339.0
256,120,120,TS0330C,0,0,0,,,
256,120,120,TS0330D,0,0,0,,,
256,120,120,TS0330E,0,2,2,119.40400542087035,290.0,300.0
256,120,120,TS0330F,0,0,0,,,
256,120,120,TS0330G,0,0,0,,,
256,120,120,TS0330H,0,0,0,,,
256,120,150,TS0330A,0,27,27,148.64220758858576,352.0,612.0
256,120,150,TS0330B,0,28,28,149.5914457131798,309.0,579.0
256,120,150,TS0330C,0,19,19,148.5402944595118,285.0,465.0
256,120,150,TS0330D,0,18,18,149.4969132066336,289.0,459.0
256,120,150,TS0330E,0,25,25,149.09073064340242,290.0,530.0
256,120,150,TS0330F,0,19,19,148.35518195360714,306.0,486.0
256,120,150,TS0330G,0,17,17,150.0,278.0,438.0
256,120,150,TS0330H,0,19,19,149.05453861584755,293.0,473.0
256,180,80,TS0330A,0,0,0,,,
256,180,80,TS0330B,0,0,0,,,
256,180,80,TS0330C,0,0,0,,,
256,180,80,TS0330D,0,0,0,,,
256,180,80,TS0330E,0,0,0,,,
256,180,80,TS0330F,0,0,0,,,
256,180,80,TS0330G,0,0,0,,,
256,180,80,TS0330H,0,0,0,,,
