experiment_label,duration_overlap_s,rows_1hz,published_vent_time_s,published_vent_temperature_c,published_tr_time_s,aligned_temperature_at_vent_c,pressure_peak,pressure_peak_time_s,detected_pressure_drop_time_s,detected_pressure_drop_dpdt,vent_detection_error_s,rapid_temperature_time_s,max_dTdt_c_per_s,overlap_covers_published_tr,pre_vent_seconds_below_120
NMC111,11299.0,11300,10260.0,152.0,12360.0,152.05225000000002,4.462,10258.0,10262.0,-2.163,2.0,10366.0,0.22274999999999068,False,6491
NMC811,2922.0,2923,1350.0,185.0,1454.0,185.24142857142857,4.6596,1348.0,1351.0,-2.3025,1.0,1461.0,3.7735714285714437,True,866
