group,candidates,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,fail_feature_only_or_combined,fail_memorization_floor,fail_ood_ceiling,fail_amplitude,feature_z_median,nearest_real_median
age0_stage0,60,12,12,60,60,60,48,0,0,0,7.635930299758911,0.03846139647066585
age0_stage1,60,60,60,60,60,60,0,0,0,0,4.681941270828247,0.060952054336667
age0_stage2,60,50,50,60,60,60,10,0,0,0,2.6468712091445923,0.0379026103764772
age1_stage0,60,4,4,60,60,60,56,0,0,0,9.113413333892822,0.034366192296147305
age1_stage1,60,60,60,60,60,60,0,0,0,0,4.3746349811553955,0.04919449239969245
age1_stage2,60,53,53,60,60,60,7,0,0,0,2.9189664125442505,0.0358447209000587
