group,n_real,n_synthetic,feature_smd_mean,feature_smd_max,feature_range_coverage,real_real_nn_median,synthetic_real_nn_median,nn_ratio,mmd2,mmd_sigma
overall,122,239,0.8927198525015905,2.1794070884028063,0.8791259879125988,0.033252927178332066,0.043591329436069616,1.3109020208144009,0.3694551629439632,6.814098001210667
age0_stage0,38,12,0.6297814518289728,3.924540144739056,0.7893518518518519,0.012213882984864892,0.04481577337468014,3.669248627174062,0.2418925644375136,1.7399306217281572
age0_stage1,2,60,1.0391554407299433,12.469941799916947,0.18009259259259258,0.7823752850648037,0.060952055455235396,0.07790641731504437,0.003220015164207668,9.896351543313184
age0_stage2,25,50,0.2659831902678305,1.9607519282006969,0.8366666666666667,0.04883690298801699,0.0379873510487152,0.7778411144956526,0.010511119007097669,5.1531764024285165
age1_stage0,38,4,0.6322533371434177,4.479041772800474,0.8958333333333334,0.02434442861564407,0.039244675985171805,1.6120598517540323,0.3710789013690454,2.4971883989874515
age1_stage1,2,60,0.6159495358593495,4.722116338321938,0.18518518518518517,0.7309945367844218,0.04919449188596854,0.0672980294796328,0.010817910218485105,6.5382139017237515
age1_stage2,17,53,0.2384164096232656,2.5244224654605096,0.8317610062893082,0.050319945529243,0.03564228567098431,0.7083132800744211,0.005454753362245324,3.8159088480263605
