window_s,temp_cap_c,max_tau_s,experiment,n_windows,tau_min_s,tau_q25_s,tau_median_s,tau_q75_s,tau_max_s
60,150,1200,TS0330B,49,3.3600000000000136,323.36,443.36,563.36,683.36
60,150,1200,TS0330C,39,273.94000000000005,368.94000000000005,463.94000000000005,558.94,653.94
60,150,1200,TS0330D,38,233.01,325.51,418.01,510.51,603.01
60,150,1200,TS0330E,45,146.79999999999995,256.79999999999995,366.79999999999995,476.79999999999995,586.8
60,150,1200,TS0330F,39,195.35000000000002,290.35,385.35,480.35,575.35
60,150,1200,TS0330G,37,231.33000000000004,321.33000000000004,411.33000000000004,501.33000000000004,591.33
60,150,1200,TS0330H,39,159.86,254.86,349.86,444.86,539.86
120,100,300,TS0330A,0,,,,,
120,100,300,TS0330B,0,,,,,
120,100,300,TS0330C,0,,,,,
120,100,300,TS0330D,0,,,,,
120,100,300,TS0330E,0,,,,,
120,100,300,TS0330F,0,,,,,
120,100,300,TS0330G,0,,,,,
120,100,300,TS0330H,0,,,,,
120,100,600,TS0330A,13,479.89,509.89,539.89,569.89,599.89
120,100,600,TS0330B,7,533.36,548.36,563.36,578.36,593.36
120,100,600,TS0330C,6,543.94,556.44,568.94,581.44,593.94
120,100,600,TS0330D,5,503.01,513.01,523.01,533.01,543.01
120,100,600,TS0330E,8,456.79999999999995,474.29999999999995,491.79999999999995,509.29999999999995,526.8
120,100,600,TS0330F,7,455.35,470.35,485.35,500.35,515.35
120,100,600,TS0330G,6,481.33000000000004,493.83000000000004,506.33000000000004,518.83,531.33
120,100,600,TS0330H,8,409.86,427.36,444.86,462.36,479.86
120,100,900,TS0330A,13,479.89,509.89,539.89,569.89,599.89
120,100,900,TS0330B,10,533.36,555.86,578.36,600.86,623.36
120,100,900,TS0330C,6,543.94,556.44,568.94,581.44,593.94
120,100,900,TS0330D,5,503.01,513.01,523.01,533.01,543.01
120,100,900,TS0330E,8,456.79999999999995,474.29999999999995,491.79999999999995,509.29999999999995,526.8
120,100,900,TS0330F,7,455.35,470.35,485.35,500.35,515.35
120,100,900,TS0330G,6,481.33000000000004,493.83000000000004,506.33000000000004,518.83,531.33
120,100,900,TS0330H,8,409.86,427.36,444.86,462.36,479.86
120,100,1200,TS0330A,13,479.89,509.89,539.89,569.89,599.89
