1,450.569832
2,446.025324
3,445.950417
4,445.876017
5,445.927771
6,445.850022
7,445.926271
8,445.844224
9,445.835975
10,445.775809
11,445.719315
12,445.699287
13,445.721152
14,445.675385
15,445.655226
16,445.613136
17,445.628033
18,445.652894
19,445.585479
20,445.507445
21,445.513267
22,445.513059
23,445.457084
24,445.388547
25,445.373416
26,445.353781
27,445.304407
28,445.235145
29,445.260961
30,445.232899
31,445.199288
32,445.222258
33,445.160162
34,445.126567
35,445.093588
36,445.099192
37,445.041284
38,444.959192
39,444.933446
40,444.94911
41,444.953964
42,444.852026
43,444.852607
44,444.87755
45,444.810424
46,444.762107
47,444.738896
48,444.734524
49,444.694572
50,444.624284
51,444.604589
52,444.55374
53,444.533696
54,444.482794
55,444.57509
56,444.507428
57,444.396884
58,444.491642
59,444.412628
60,444.351563
61,444.367658
62,444.336719
63,444.305062
64,444.273501
65,444.218014
66,444.206121
67,444.185061
68,444.177722
69,444.130312
70,444.111082
71,444.108209
72,444.126064
73,444.115301
74,444.065016
75,443.955554
76,444.054059
77,443.942841
78,443.944515
79,443.908094
80,443.935273
81,443.864339
82,443.851126
83,443.853977
84,443.813049
85,443.736485
86,443.768672
87,443.726389
88,443.68459
89,443.658086
90,443.603137
91,443.568655
92,443.590323
93,443.581423
94,443.592507
95,443.53592
96,443.526146
97,443.458736
98,443.400859
99,443.410053
100,443.416784
101,443.348118
102,443.251543
103,443.350502
104,443.293937
105,443.294487
106,443.30791
107,443.25784
108,443.146725
109,443.275493
110,443.212617
111,443.130216
112,443.119955
113,443.034165
114,443.065477
115,443.100868
116,443.006479
117,442.993261
118,442.963264
119,442.907469
120,442.85992
121,442.902979
122,442.913247
123,442.817065
124,442.804519
125,442.754299
126,442.800295
127,442.671666
128,442.721339
129,442.70045
130,442.664041
131,442.664852
132,442.582781
133,442.546905
134,442.567461
135,442.489507
136,442.40757
137,442.415384
138,442.410275
139,442.395366
140,442.384761
141,442.416324
142,442.364884
143,442.366233
144,442.207356
145,442.242534
146,442.193352
147,442.166857
148,442.122676
149,442.13642
150,442.132198
151,442.115501
152,442.161887
153,442.031394
154,442.019617
155,441.955014
156,442.031146
157,441.987931
158,442.042866
159,441.961986
160,442.006732
161,441.948996
162,441.892899
163,441.915273
164,441.842858
165,441.858853
166,441.822702
167,441.810795
168,441.748462
169,441.81371
170,441.733479
171,441.711486
172,441.736299
173,441.732133
174,441.667702
175,441.668821
176,441.755944
177,441.678322
178,441.601899
179,441.519687
180,441.552554
181,441.548079
182,441.545137
183,441.416199
184,441.497447
185,441.475583
186,441.484768
187,441.483715
188,441.476422
189,441.452338
190,441.423968
191,441.326563
192,441.363479
193,441.364013
194,441.238989
195,441.272827
196,441.231478
197,441.263479
198,441.193873
199,441.180959
200,441.151782
201,441.211769
202,441.143442
203,441.087811
204,441.061338
205,441.052002
206,441.070571
207,441.100182
208,440.978688
209,441.042837
210,441.039354
211,440.946187
212,440.959558
213,440.916379
214,440.883443
215,440.869757
216,440.817027
217,440.771328
218,440.814552
219,440.808022
220,440.71668
221,440.753877
222,440.647904
223,440.674645
224,440.660519
225,440.667579
226,440.682529
227,440.599303
228,440.593677
229,440.571875
230,440.565352
231,440.590977
232,440.586609
233,440.550637
234,440.511922
235,440.44239
236,440.50986
237,440.415801
238,440.404981
239,440.529979
240,440.444999
241,440.291406
242,440.392844
243,440.330583
244,440.285199
245,440.251746
246,440.276452
247,440.266078
248,440.151928
249,440.20918
250,440.097835
251,440.079812
252,440.047412
253,440.109747
254,440.023007
255,440.093489
256,440.038325
257,440.039944
258,440.020806
259,440.037368
260,440.072486
261,439.977456
262,439.957218
263,439.986787
264,439.948911
265,439.911382
266,439.93676
267,439.91525
268,439.854544
269,439.863496
270,439.786769
271,439.816725
272,439.661795
273,439.67447
274,439.679426
275,439.62385
276,439.609353
277,439.540476
278,439.719547
279,440.021046
280,440.188146
281,440.096582
282,440.36965
283,440.492309
284,440.750686
285,440.911096
286,440.932498
287,441.093248
288,441.107506
289,441.125044
290,441.298135
291,441.40712
292,441.352376
293,441.600861
294,441.664219
295,441.728207
296,441.814902
297,441.906511
298,441.993012
299,442.017127
300,442.038228
301,442.171229
302,442.164369
303,442.193806
304,442.218893
305,442.360784
306,442.428422
307,442.459668
308,442.445902
309,442.514985
310,442.693406
311,442.646322
312,442.816797
313,442.91026
314,442.906454
315,442.975458
316,442.946562
317,443.048119
318,443.05541
319,443.087483
320,443.129951
321,443.250909
322,443.19945
323,443.261514
324,443.341583
325,443.373893
326,443.406932
327,443.490646
328,443.536467
329,443.508288
330,443.571351
331,443.618916
332,443.721069
333,443.749301
334,443.715371
335,443.75268
336,443.821976
337,443.979999
338,443.992759
339,443.979968
340,444.061361
341,444.0901
342,444.131152
343,444.16638
344,444.265019
345,444.243805
346,444.364866
347,444.35294
348,444.399702
349,444.436484
350,444.485234
351,444.517261
352,444.47491
353,444.560954
354,444.630046
355,444.782697
356,444.63389
357,444.699612
358,444.745477
359,444.761933
360,444.75763
361,444.881087
362,444.945487
363,444.936594
364,445.016887
365,445.055782
366,445.106995
367,445.138895
368,445.294486
369,445.186712
370,445.402726
371,445.339946
372,445.42714
373,445.370342
374,445.373112
375,445.507273
376,445.483539
377,445.535285
378,445.523854
379,445.637763
380,445.594503
381,445.781803
382,445.826395
383,445.829186
384,445.813204
385,445.872681
386,445.878404
387,445.986489
388,446.000281
389,446.078826
390,446.062224
391,446.132954
392,446.221335
393,446.193642
394,446.281273
395,446.348268
396,446.303958
397,446.315394
