representation,mae_mean_s,mae_worst_s,rmse_mean_s,r2_mean
fusion_absolute,40.42456532652743,62.90000734154433,44.59293252905236,0.7825581080595984
temp_absP_relP_dP,40.87710607240266,66.95015958197293,45.470570102927724,0.7700150569059031
temp_relP,46.845307004672165,79.15926486452756,52.41079204229965,0.7005096254939015
temperature,47.59480372625306,77.5383360718231,51.049125713569865,0.6982284280397818
temp_relP_dP,47.62183881495865,79.79672131897173,53.00522422981655,0.6946765179045016
temp_relP_dP_shape,48.568150159901805,81.79626396405024,54.45412287745645,0.6805911183723239
