key,shape,dtype,size,min,max,mean,std,finite,experiment_label
T_average_nmc111,[12649],float64,12649,69.89274999999999,600.83525,127.60868254407463,68.84457675315288,12649,NMC111
Time_T_nmc111_hour,[12649],float64,12649,0.0002777777777777778,3.513611111111111,1.7569444444444446,1.0142921572441117,12649,NMC111
Time_p_nmc111_hour,[113001],float64,113001,2.777777777777778e-05,3.1389166666666664,1.5694722222222222,0.9061271911964205,113001,NMC111
pressure_nmc111,[113001],float64,113001,-0.034,4.466,1.3370938487270025,1.1954472333160047,113001,NMC111
T_average_nmc811,[292296],float64,292296,26.855,356.0407142857143,194.09745880887868,100.3522760628613,292296,NMC811
Time_nmc811_100Hz,[292296],int32,292296,0.0,292295.0,146147.5,84378.58714103162,292296,NMC811
V_nmc811,[292296],float64,292296,0.0,4.12,2.0446673919588356,2.0573747610440427,292296,NMC811
pressure_nmc811,[292296],float64,292296,-0.1239,4.728,0.3639660476500188,0.8018549162590648,292130,NMC811
