k_real_train_experiments,representation,auroc_macro,auroc_worst_heldout,auprc_macro,auprc_worst_heldout,f1_macro,balanced_acc_macro
2,fusion_absolute,0.9422117703298298,0.7191043083900227,0.906263119297844,0.7121178302949736,0.5651793574074959,0.7598824102269366
2,fusion_shape,0.9097209996906497,0.7312925170068028,0.8182499514325179,0.683843537414966,0.6740251427833757,0.8293726258070202
2,pressure_absolute,0.8470714088692397,0.7284353741496599,0.7220030136523186,0.44069367322168446,0.430056202503302,0.6613323045786167
2,pressure_shape,0.6352861480677098,0.3897907647907648,0.47651725928768046,0.21370621799128098,0.4087074595486725,0.5987175702790998
2,temperature,0.9711328849721707,0.7729591836734694,0.9758725162188455,0.8124823059319437,0.7211830642439117,0.8691853371783496
4,fusion_absolute,0.9569509646354649,0.7202380952380952,0.9522238490133301,0.7656639366580036,0.6659152717905681,0.8308354028864511
4,fusion_shape,0.9241546525864708,0.7193877551020408,0.8419647394318225,0.6830952380952381,0.7014680886567082,0.8512669339804433
4,pressure_absolute,0.8819420602023299,0.7564081632653061,0.749881495658178,0.4952232157018547,0.4441836862662975,0.6916007115296712
4,pressure_shape,0.6706655110840599,0.3188311688311688,0.5194575567872789,0.1637501242015756,0.4450169777064149,0.6214933922185475
4,temperature,0.9761872981515839,0.8146258503401361,0.9779058890108788,0.835346051726459,0.7266056210399421,0.8747196667204431
7,fusion_absolute,0.961005291005291,0.7142857142857143,0.9651617932119084,0.7751152073732719,0.6178680920528746,0.8195386904761905
7,fusion_shape,0.9434641873278237,0.7142857142857143,0.8744427098061367,0.6388888888888888,0.7271703296703297,0.8720765692640693
7,pressure_absolute,0.9023299268803221,0.7462121212121212,0.7809103503343123,0.34979360916860913,0.3775027056277056,0.666995459250894
7,pressure_shape,0.7138567231699643,0.24621212121212116,0.5527345781874827,0.14237428344599196,0.47414296582774845,0.6535792317585796
7,temperature,0.9821428571428572,0.8571428571428572,0.9768170426065163,0.8145363408521302,0.7286055642992983,0.8758652715038585
