k_real_train_experiments,representation,heldout,subset_count,auroc_mean_over_subsets,auroc_worst_subset,auprc_mean_over_subsets,auprc_worst_subset,f1_mean_over_subsets,balanced_acc_mean_over_subsets
2,fusion_absolute,TS0330A,21,0.9595959595959597,0.6575757575757576,0.9114525766013967,0.3389129440632151,0.43892904688719353,0.6865079365079365
2,fusion_absolute,TS0330B,21,0.9655483405483406,0.7462121212121211,0.8817786963270157,0.32914915966386554,0.38556338042723876,0.7006673881673882
2,fusion_absolute,TS0330C,21,0.9724867724867724,0.8222222222222223,0.8638888888888888,0.2619047619047619,0.4049778285159898,0.8182539682539682
2,fusion_absolute,TS0330D,21,0.9638095238095238,0.7371428571428571,0.9346867642138382,0.611655188391146,0.6705892273786433,0.8374149659863945
2,fusion_absolute,TS0330E,21,0.9875776397515528,0.8940217391304348,0.9862286544990548,0.8834177974802975,0.745626698353707,0.830551242236025
2,fusion_absolute,TS0330F,21,0.9820936639118458,0.8636363636363636,0.9726758652550741,0.7862377818260172,0.7660219117217123,0.8560606060606061
2,fusion_absolute,TS0330G,21,0.7191043083900227,0.36904761904761907,0.7121178302949736,0.20101479797874486,0.41335507718077985,0.5853174603174602
2,fusion_absolute,TS0330H,21,0.9874779541446208,0.9296296296296297,0.9872756783025102,0.9315566694514064,0.6963716887947033,0.7642857142857143
2,fusion_shape,TS0330A,21,0.9196248196248197,0.7757575757575758,0.7773161808378527,0.4488347093223254,0.7464579826724155,0.8655122655122656
2,fusion_shape,TS0330B,21,0.9292929292929293,0.7613636363636362,0.7669382742366512,0.36855211781682373,0.5840408371882218,0.8130411255411255
2,fusion_shape,TS0330C,21,0.9497354497354499,0.8444444444444446,0.683843537414966,0.28968253968253965,0.39584559133431313,0.8309523809523809
2,fusion_shape,TS0330D,21,0.8756462585034013,0.6742857142857142,0.7678401641720654,0.44797771672771675,0.5557864196994632,0.7561904761904762
2,fusion_shape,TS0330E,21,0.9704968944099379,0.904891304347826,0.9619335686345193,0.8586908750971252,0.8634695266218928,0.886128364389234
2,fusion_shape,TS0330F,21,0.9413616686343959,0.8471074380165289,0.9080070860788713,0.7171863709413117,0.8756744390491802,0.9112554112554113
2,fusion_shape,TS0330G,21,0.7312925170068028,0.5357142857142857,0.7166407378169503,0.29756418696510867,0.5516521351107817,0.7253401360544218
2,fusion_shape,TS0330H,21,0.9603174603174603,0.8592592592592593,0.9634800622682669,0.892298139768728,0.8192742105907371,0.8465608465608466
2,pressure_absolute,TS0330A,21,0.7464646464646465,0.26666666666666666,0.6036877570534195,0.19916072744648888,0.265375569898466,0.5722943722943723
2,pressure_absolute,TS0330B,21,0.7765151515151514,0.553030303030303,0.47269446011865923,0.21750356125356124,0.26244339005443446,0.5925324675324676
2,pressure_absolute,TS0330C,21,0.8291005291005291,0.41111111111111115,0.44069367322168446,0.09947089947089947,0.28065953654188946,0.7
2,pressure_absolute,TS0330D,21,0.7284353741496599,0.42857142857142855,0.6422400382150081,0.39858230926779314,0.4243973422666122,0.6282993197278911
2,pressure_absolute,TS0330E,21,0.8946687370600415,0.7282608695652174,0.8513110432310756,0.5810329426116165,0.6674680393675049,0.7234083850931677
2,pressure_absolute,TS0330F,21,0.8728846910665092,0.5082644628099173,0.8673135271437573,0.6222001719081808,0.5831683333385618,0.6612554112554113
2,pressure_absolute,TS0330G,21,0.9685374149659864,0.886904761904762,0.9408026613908964,0.811965811965812,0.597924262139786,0.788265306122449
2,pressure_absolute,TS0330H,21,0.9599647266313934,0.8740740740740741,0.9572809488440477,0.8605460770166652,0.3590131464191615,0.6246031746031746
2,pressure_shape,TS0330A,21,0.7496392496392497,0.5181818181818183,0.546623080149777,0.30347349628495346,0.511422337602629,0.6698412698412698
2,pressure_shape,TS0330B,21,0.3897907647907648,0.08333333333333334,0.21370621799128098,0.12158735417520718,0.26239753273820476,0.45021645021645024
2,pressure_shape,TS0330C,21,0.6984126984126984,0.15555555555555556,0.266661229798021,0.07035330261136713,0.21705319742913728,0.6341269841269841
2,pressure_shape,TS0330D,21,0.7229931972789115,0.5028571428571429,0.526057759070108,0.2587543350673603,0.47788090494857416,0.6763265306122449
2,pressure_shape,TS0330E,21,0.5392080745341614,0.13315217391304346,0.5859305795615719,0.2772407130060766,0.46689307424814885,0.516498447204969
2,pressure_shape,TS0330F,21,0.78099173553719,0.44214876033057854,0.6918471162908725,0.31914005053957206,0.5444055495029477,0.6937229437229437
2,pressure_shape,TS0330G,21,0.48837868480725627,0.11309523809523808,0.29759851175387764,0.14843467821153972,0.3184276750307175,0.5109126984126984
2,pressure_shape,TS0330H,21,0.7128747795414463,0.5074074074074075,0.6837135796859348,0.45518085551580045,0.4711794048890207,0.6380952380952382
2,temperature,TS0330A,21,0.9992784992784992,0.9878787878787879,0.997971052516507,0.9649678604224059,0.8070208572671627,0.9103174603174603
2,temperature,TS0330B,21,1.0,1.0,1.0,1.0,0.5998312385176097,0.8369408369408369
2,temperature,TS0330C,21,1.0,1.0,1.0,1.0,0.35845794458134134,0.8182539682539682
2,temperature,TS0330D,21,1.0,1.0,1.0,1.0,0.6919822645559622,0.8714285714285714
2,temperature,TS0330E,21,1.0,1.0,1.0,1.0,0.9014477090549624,0.922360248447205
2,temperature,TS0330F,21,1.0,1.0,1.0,1.0,0.9363005938161217,0.9567099567099568
2,temperature,TS0330G,21,0.7729591836734694,0.7142857142857143,0.8124823059319437,0.7751152073732719,0.6762589471236088,0.8041383219954649
2,temperature,TS0330H,21,0.9968253968253968,0.962962962962963,0.9965267713023132,0.9601831123812548,0.7981649590345243,0.8333333333333334
4,fusion_absolute,TS0330A,35,0.985021645021645,0.8393939393939394,0.9583282094359252,0.6109082836355564,0.4761132395541948,0.6972727272727273
4,fusion_absolute,TS0330B,35,0.9926406926406927,0.8636363636363636,0.9778853207949847,0.6082282913165267,0.5603242501083707,0.7973484848484849
4,fusion_absolute,TS0330C,35,0.9984126984126984,0.9444444444444444,0.9866666666666666,0.5333333333333333,0.41802096326200705,0.8485714285714285
4,fusion_absolute,TS0330D,35,0.9833469387755102,0.8285714285714285,0.9571461701563743,0.6808673469387755,0.7003378233617835,0.8748571428571429
4,fusion_absolute,TS0330E,35,0.9995341614906833,0.9891304347826086,0.9994327731092436,0.9875,0.9287290244914496,0.9428959627329192
4,fusion_absolute,TS0330F,35,0.9970484061393153,0.9380165289256198,0.9943364499858006,0.8847470711107075,0.9078019475348669,0.9441558441558442
4,fusion_absolute,TS0330G,35,0.7202380952380952,0.6011904761904762,0.7656639366580036,0.36317952400901715,0.4837808424083581,0.6725340136054422
4,fusion_absolute,TS0330H,35,0.9793650793650794,0.9444444444444444,0.9783312652996421,0.9409391534391534,0.8522140836035138,0.8690476190476191
4,fusion_shape,TS0330A,35,0.9310822510822511,0.7999999999999999,0.7928901614626958,0.47190951580551915,0.7772371089428137,0.8911255411255412
4,fusion_shape,TS0330B,35,0.9504329004329004,0.7954545454545455,0.8172461620981358,0.37964050751879697,0.6227983144450994,0.8471861471861472
4,fusion_shape,TS0330C,35,0.9593650793650793,0.8666666666666667,0.6830952380952381,0.3206349206349206,0.4063517427582001,0.8485714285714285
4,fusion_shape,TS0330D,35,0.9043265306122449,0.72,0.7933940515212027,0.47953738512949035,0.5446965303532809,0.7522448979591837
4,fusion_shape,TS0330E,35,0.9928571428571429,0.9592391304347826,0.9911189967644524,0.9467862511907597,0.9227530959628518,0.9381987577639752
4,fusion_shape,TS0330F,35,0.9644628099173553,0.8636363636363635,0.9316675377227741,0.7562293986207029,0.8827086406020699,0.9207792207792208
4,fusion_shape,TS0330G,35,0.7193877551020408,0.6845238095238096,0.7536672132510592,0.5514430014430014,0.6331366083422696,0.7637755102040816
4,fusion_shape,TS0330H,35,0.9713227513227513,0.9074074074074074,0.9726385545390217,0.9111240611240611,0.8220626678470797,0.8482539682539683
4,pressure_absolute,TS0330A,35,0.8167965367965369,0.4121212121212121,0.632829995313975,0.23548092678847155,0.21023019063547896,0.5878787878787879
4,pressure_absolute,TS0330B,35,0.7980519480519481,0.696969696969697,0.4952232157018547,0.3027853725222146,0.21436773629829797,0.5682900432900433
4,pressure_absolute,TS0330C,35,0.8873015873015874,0.6888888888888889,0.5274835481978339,0.1735042735042735,0.3400488933151472,0.7804761904761904
4,pressure_absolute,TS0330D,35,0.7564081632653061,0.4571428571428571,0.6297693394284392,0.4005055810202869,0.47357628290612924,0.660734693877551
4,pressure_absolute,TS0330E,35,0.9283385093167701,0.8342391304347827,0.89214725311588,0.701319795293286,0.7654245816964221,0.784472049689441
4,pressure_absolute,TS0330F,35,0.9305785123966942,0.6694214876033058,0.9150958108499028,0.6529150983696438,0.6843487082599544,0.753896103896104
4,pressure_absolute,TS0330G,35,0.9685374149659864,0.8988095238095237,0.939417082850456,0.8207282913165266,0.6627216615165195,0.833248299319728
4,pressure_absolute,TS0330H,35,0.9695238095238097,0.9592592592592593,0.967085719807082,0.9549222999222999,0.20275143550243063,0.5638095238095239
4,pressure_shape,TS0330A,35,0.7751515151515153,0.5515151515151515,0.5514041369550513,0.3032058553019752,0.5337793699246094,0.6893506493506494
4,pressure_shape,TS0330B,35,0.3188311688311688,0.0946969696969697,0.1637501242015756,0.12282364170429791,0.24058160905113649,0.4141233766233766
4,pressure_shape,TS0330C,35,0.7317460317460317,0.4666666666666667,0.28585866048050923,0.1065934065934066,0.2265454275099488,0.6480952380952381
4,pressure_shape,TS0330D,35,0.8522448979591837,0.6057142857142856,0.6821459836088078,0.30807169021454733,0.5892471742985368,0.7751836734693878
4,pressure_shape,TS0330E,35,0.5694099378881988,0.10597826086956523,0.6143720550728797,0.26733998146037496,0.48997170871349566,0.5384316770186335
