model,representation,mae_mean_s,mae_worst_s,rmse_mean_s,medae_mean_s,r2_mean,bias_mean_s
huber,fusion_absolute,50.21062090354686,89.17863100323403,53.67929899207555,51.05309529338363,0.6740405496408444,5.578719193765379
huber,fusion_shape,52.46559012478822,74.27019488224602,68.81051274871277,47.759779472950534,0.31005638991445333,3.948506870816682
huber,pressure_absolute,77.95858428460605,123.63749235557738,89.52622421106066,74.7712413124023,0.1395361026983242,7.158995323991245
huber,pressure_shape,88.73648550658518,125.88304157863377,105.94262527988836,84.19390322232955,-0.13489403833990243,-5.670871474284219
huber,temperature,43.296064613450994,71.80664296686446,51.10264915398592,42.186323017114276,0.6852438488405209,1.6838315110798172
rf,fusion_absolute,37.36123802948161,65.58636654471859,41.155891024108485,36.71358198165035,0.8121135310349596,5.203460936522989
rf,fusion_shape,42.368663566945344,80.73804880787152,47.30207855905211,39.73933019866651,0.742568820107192,4.74514760620467
rf,pressure_absolute,89.86852195101078,164.94217269669758,108.89155180677389,79.99990952983192,-0.27506381011744085,2.0249977826398045
rf,pressure_shape,83.54902937843372,100.72443017316249,100.80860495576059,78.1758401000026,-0.02300637875242731,1.382325865082569
rf,temperature,43.316797657247996,76.73096641318755,46.01963318347775,44.46446097778777,0.7424505836755798,5.316767135646086
