method,architecture,auroc_mean,auroc_worst,auprc_mean,auprc_worst,f1_mean,balanced_acc_mean
classical_anchor_matched,cnn,0.875,0.6666666666666666,0.825140698139936,0.5555555555555555,0.07145511493337581,0.5379302536231884
classical_anchor_matched,gru,0.9995370370370371,0.9962962962962963,0.9965277777777778,0.9722222222222222,0.36278448091135496,0.6715929219733567
racdiff,cnn,0.875,0.6666666666666666,0.825140698139936,0.5555555555555555,0.07145511493337581,0.5379302536231884
racdiff,gru,0.9995370370370371,0.9962962962962963,0.9965277777777777,0.9722222222222222,0.3856576699207773,0.6790687216366564
real_only,cnn,0.9375,0.8333333333333334,0.9111840585735402,0.7317073170731708,0.07145511493337581,0.5379302536231884
real_only,gru,0.9995370370370371,0.9962962962962963,0.9965277777777777,0.9722222222222222,0.36620801024327104,0.673558410188845
