modality,auroc_mean,auroc_min,auprc_mean,auprc_min,f1_mean,balanced_acc_mean
force,0.975,0.9,0.9788559841516662,0.915423936606665,0.9254470938897168,0.9572688386265089
fusion,0.975,0.9,0.9788559841516662,0.915423936606665,0.8878439269064269,0.9394502714949803
temperature,0.9999338624338625,0.9997354497354498,0.9997311827956988,0.9989247311827957,0.7996742196683302,0.8946745966639322
