experiment,published_vent_s,rows_1hz,positive,negative,total,tau_min_s,tau_max_s,max_retained_temperature_c,tte_windows,tte_tau_min_s,tte_tau_median_s,tte_tau_max_s
NMC111,10260.0,11300,5,984,989,260.0,10140.0,149.93975,35,260.0,430.0,600.0
NMC811,1350.0,2923,5,94,99,251.0,1231.0,148.17000000000002,35,251.0,421.0,591.0
