source_pair,external,method,representation,n_source_real_windows,n_aug,n_external_windows,external_positive,auroc,auprc,f1,balanced_accuracy
TS0330B+TS0330C,NMC811,real_only,fusion_shape,74,0,99,5,0.1468085106382978,0.0352496841071945,0.0,0.3723404255319149
TS0330B+TS0330C,NMC111,classical_anchor_matched,temperature,74,74,989,5,0.1158536585365853,0.0033864437741261,0.0100603621730382,0.5
TS0330B+TS0330C,NMC811,classical_anchor_matched,temperature,74,74,99,5,0.0170212765957446,0.0309330960059585,0.0961538461538461,0.5
TS0330B+TS0330C,NMC111,classical_anchor_matched,pressure_absolute,74,74,989,5,0.0065040650406504,0.0030494912366816,0.0,0.2738821138211382
TS0330B+TS0330C,NMC811,classical_anchor_matched,pressure_absolute,74,74,99,5,0.0042553191489361,0.0307880283076993,0.0,0.2712765957446808
TS0330B+TS0330C,NMC111,classical_anchor_matched,pressure_shape,74,74,989,5,0.0152439024390243,0.0030721520764967,0.0100603621730382,0.5
TS0330B+TS0330C,NMC811,classical_anchor_matched,pressure_shape,74,74,99,5,0.1,0.0335248236628155,0.0,0.25
TS0330B+TS0330C,NMC111,classical_anchor_matched,fusion_absolute,74,74,989,5,0.0065040650406503,0.0030484827244408,0.0,0.3023373983739837
TS0330B+TS0330C,NMC811,classical_anchor_matched,fusion_absolute,74,74,99,5,0.0042553191489361,0.0307880283076993,0.0,0.3563829787234042
TS0330B+TS0330C,NMC111,classical_anchor_matched,fusion_shape,74,74,989,5,0.0172764227642276,0.0030752312227756,0.0100603621730382,0.5
TS0330B+TS0330C,NMC811,classical_anchor_matched,fusion_shape,74,74,99,5,0.0340425531914893,0.0315037829553958,0.0,0.1170212765957446
TS0330B+TS0330C,NMC111,racdiff,temperature,74,74,989,5,0.0855691056910569,0.0032866914361882,0.0100603621730382,0.5
TS0330B+TS0330C,NMC811,racdiff,temperature,74,74,99,5,0.0085106382978723,0.0308342817767095,0.0961538461538461,0.5
TS0330B+TS0330C,NMC111,racdiff,pressure_absolute,74,74,989,5,0.0024390243902438,0.0030405777904575,0.0,0.2896341463414634
TS0330B+TS0330C,NMC811,racdiff,pressure_absolute,74,74,99,5,0.0,0.0307217722420032,0.0,0.2978723404255319
TS0330B+TS0330C,NMC111,racdiff,pressure_shape,74,74,989,5,0.0491869918699187,0.003153473274685,0.0,0.0899390243902439
TS0330B+TS0330C,NMC811,racdiff,pressure_shape,74,74,99,5,0.1787234042553191,0.0367103886798934,0.0,0.3936170212765957
TS0330B+TS0330C,NMC111,racdiff,fusion_absolute,74,74,989,5,0.0006097560975609,0.003038087181521,0.0,0.298780487804878
TS0330B+TS0330C,NMC811,racdiff,fusion_absolute,74,74,99,5,0.0,0.0307217722420032,0.0,0.3297872340425531
TS0330B+TS0330C,NMC111,racdiff,fusion_shape,74,74,989,5,0.0286585365853658,0.0031046047866773,0.0100603621730382,0.5
TS0330B+TS0330C,NMC811,racdiff,fusion_shape,74,74,99,5,0.0340425531914893,0.0315437239449936,0.0,0.1436170212765957
TS0330C+TS0330D,NMC111,real_only,temperature,65,0,989,5,0.957520325203252,0.0652004137713429,0.0100603621730382,0.5
TS0330C+TS0330D,NMC811,real_only,temperature,65,0,99,5,0.8446808510638297,0.2221717171717172,0.4,0.7627659574468084
TS0330C+TS0330D,NMC111,real_only,pressure_absolute,65,0,989,5,0.9567073170731708,0.0569751844399731,0.0833333333333333,0.9441056910569106
TS0330C+TS0330D,NMC811,real_only,pressure_absolute,65,0,99,5,0.8936170212765958,0.2,0.2941176470588235,0.8723404255319149
TS0330C+TS0330D,NMC111,real_only,pressure_shape,65,0,989,5,0.672560975609756,0.008824139800438,0.0116618075801749,0.5292682926829269
TS0330C+TS0330D,NMC811,real_only,pressure_shape,65,0,99,5,0.3489361702127659,0.0455646815612211,0.0,0.4734042553191489
TS0330C+TS0330D,NMC111,real_only,fusion_absolute,65,0,989,5,0.5,0.0050556117290192,0.0100603621730382,0.5
TS0330C+TS0330D,NMC811,real_only,fusion_absolute,65,0,99,5,0.5,0.0505050505050505,0.0961538461538461,0.5
TS0330C+TS0330D,NMC111,real_only,fusion_shape,65,0,989,5,0.2121951219512195,0.0037538026102793,0.0100603621730382,0.5
TS0330C+TS0330D,NMC811,real_only,fusion_shape,65,0,99,5,0.1553191489361702,0.0354200966959253,0.0,0.4946808510638298
TS0330C+TS0330D,NMC111,classical_anchor_matched,temperature,65,21,989,5,0.936178861788618,0.0436789365689056,0.0100603621730382,0.5
TS0330C+TS0330D,NMC811,classical_anchor_matched,temperature,65,21,99,5,0.7851063829787234,0.161014541014541,0.0,0.4627659574468085
TS0330C+TS0330D,NMC111,classical_anchor_matched,pressure_absolute,65,21,989,5,0.7576219512195121,0.0103734439834024,0.0164744645799011,0.6966463414634146
TS0330C+TS0330D,NMC811,classical_anchor_matched,pressure_absolute,65,21,99,5,0.6968085106382979,0.0806451612903225,0.1219512195121951,0.6170212765957447
TS0330C+TS0330D,NMC111,classical_anchor_matched,pressure_shape,65,21,989,5,0.9455284552845528,0.0613013717088419,0.0,0.5
TS0330C+TS0330D,NMC811,classical_anchor_matched,pressure_shape,65,21,99,5,0.8553191489361702,0.1737902837902837,0.2127659574468085,0.8031914893617021
TS0330C+TS0330D,NMC111,classical_anchor_matched,fusion_absolute,65,21,989,5,0.6986788617886179,0.0083612040133779,0.0113122171945701,0.5558943089430894
TS0330C+TS0330D,NMC811,classical_anchor_matched,fusion_absolute,65,21,99,5,0.5851063829787234,0.0602409638554216,0.1052631578947368,0.5478723404255319
TS0330C+TS0330D,NMC111,classical_anchor_matched,fusion_shape,65,21,989,5,0.2286585365853658,0.0038298689915898,0.0100603621730382,0.5
TS0330C+TS0330D,NMC811,classical_anchor_matched,fusion_shape,65,21,99,5,0.1319148936170212,0.034472155704529,0.0,0.4893617021276595
TS0330C+TS0330D,NMC111,racdiff,temperature,65,21,989,5,0.9997967479674796,0.9666666666666666,0.0100603621730382,0.5
TS0330C+TS0330D,NMC811,racdiff,temperature,65,21,99,5,1.0,1.0,0.1515151515151515,0.7021276595744681
TS0330C+TS0330D,NMC111,racdiff,pressure_absolute,65,21,989,5,0.7652439024390243,0.0107066381156316,0.0158982511923688,0.6854674796747967
TS0330C+TS0330D,NMC811,racdiff,pressure_absolute,65,21,99,5,0.7074468085106382,0.0833333333333333,0.1162790697674418,0.5957446808510638
TS0330C+TS0330D,NMC111,racdiff,pressure_shape,65,21,989,5,0.945121951219512,0.0618269582875595,0.0,0.5
TS0330C+TS0330D,NMC811,racdiff,pressure_shape,65,21,99,5,0.8297872340425532,0.151782212885154,0.1923076923076923,0.7765957446808511
TS0330C+TS0330D,NMC111,racdiff,fusion_absolute,65,21,989,5,0.7123983739837398,0.0087565674255691,0.0112739571589627,0.554369918699187
TS0330C+TS0330D,NMC811,racdiff,fusion_absolute,65,21,99,5,0.6542553191489362,0.0714285714285714,0.1030927835051546,0.5372340425531915
TS0330C+TS0330D,NMC111,racdiff,fusion_shape,65,21,989,5,0.4770325203252032,0.0054815262613332,0.0100603621730382,0.5
TS0330C+TS0330D,NMC811,racdiff,fusion_shape,65,21,99,5,0.1723404255319149,0.0362359811345191,0.0,0.4680851063829787
TS0330D+TS0330E,NMC111,real_only,temperature,71,0,989,5,0.9833333333333332,0.1454615384615384,0.0100603621730382,0.5
TS0330D+TS0330E,NMC811,real_only,temperature,71,0,99,5,0.8765957446808511,0.2307431457431457,0.1162790697674418,0.5957446808510638
TS0330D+TS0330E,NMC111,real_only,pressure_absolute,71,0,989,5,0.8871951219512195,0.025465512318086,0.0,0.4745934959349593
TS0330D+TS0330E,NMC811,real_only,pressure_absolute,71,0,99,5,0.9148936170212766,0.238095238095238,0.3333333333333333,0.8936170212765957
TS0330D+TS0330E,NMC111,real_only,pressure_shape,71,0,989,5,0.9821138211382114,0.1607759517370501,0.0,0.5
TS0330D+TS0330E,NMC811,real_only,pressure_shape,71,0,99,5,0.9787234042553192,0.7909090909090908,0.144927536231884,0.6861702127659575
TS0330D+TS0330E,NMC111,real_only,fusion_absolute,71,0,989,5,0.5884146341463414,0.0061349693251533,0.0100603621730382,0.5
TS0330D+TS0330E,NMC811,real_only,fusion_absolute,71,0,99,5,0.5,0.0505050505050505,0.0961538461538461,0.5
TS0330D+TS0330E,NMC111,real_only,fusion_shape,71,0,989,5,0.9914634146341464,0.4168165168165167,0.0103626943005181,0.5147357723577236
TS0330D+TS0330E,NMC811,real_only,fusion_shape,71,0,99,5,1.0,1.0,0.1298701298701298,0.6436170212765957
TS0330D+TS0330E,NMC111,classical_anchor_matched,temperature,71,12,989,5,0.9536585365853658,0.0581904761904761,0.0100603621730382,0.5
TS0330D+TS0330E,NMC811,classical_anchor_matched,temperature,71,12,99,5,0.4765957446808511,0.0556972894105168,0.0961538461538461,0.5
TS0330D+TS0330E,NMC111,classical_anchor_matched,pressure_absolute,71,12,989,5,0.9272357723577236,0.0384602329848808,0.0662251655629139,0.9283536585365854
TS0330D+TS0330E,NMC811,classical_anchor_matched,pressure_absolute,71,12,99,5,0.9297872340425531,0.4359477124183006,0.2857142857142857,0.7308510638297872
TS0330D+TS0330E,NMC111,classical_anchor_matched,pressure_shape,71,12,989,5,0.9841463414634146,0.1887220026350461,0.0,0.5
TS0330D+TS0330E,NMC811,classical_anchor_matched,pressure_shape,71,12,99,5,0.9787234042553192,0.7909090909090908,0.1388888888888889,0.6702127659574468
TS0330D+TS0330E,NMC111,classical_anchor_matched,fusion_absolute,71,12,989,5,0.6996951219512195,0.0083892617449664,0.0120048019207683,0.5818089430894309
TS0330D+TS0330E,NMC811,classical_anchor_matched,fusion_absolute,71,12,99,5,0.6117021276595744,0.0641025641025641,0.099009900990099,0.5159574468085106
TS0330D+TS0330E,NMC111,classical_anchor_matched,fusion_shape,71,12,989,5,0.9922764227642276,0.4587037037037037,0.0100908173562058,0.5015243902439024
TS0330D+TS0330E,NMC811,classical_anchor_matched,fusion_shape,71,12,99,5,0.997872340425532,0.9666666666666666,0.0980392156862745,0.5106382978723404
TS0330D+TS0330E,NMC111,racdiff,temperature,71,12,989,5,0.9979674796747968,0.6087301587301587,0.0100603621730382,0.5
TS0330D+TS0330E,NMC811,racdiff,temperature,71,12,99,5,0.8702127659574469,0.1868115942028985,0.0961538461538461,0.5
TS0330D+TS0330E,NMC111,racdiff,pressure_absolute,71,12,989,5,0.9439024390243904,0.050195471425285,0.0952380952380952,0.8618902439024391
TS0330D+TS0330E,NMC811,racdiff,pressure_absolute,71,12,99,5,0.0893617021276595,0.0326685287246637,0.0,0.4946808510638298
TS0330D+TS0330E,NMC111,racdiff,pressure_shape,71,12,989,5,0.9878048780487804,0.3542213207121929,0.0,0.5
TS0330D+TS0330E,NMC811,racdiff,pressure_shape,71,12,99,5,0.9787234042553192,0.7909090909090908,0.1408450704225352,0.675531914893617
TS0330D+TS0330E,NMC111,racdiff,fusion_absolute,71,12,989,5,0.7057926829268293,0.0085616438356164,0.0128534704370179,0.6097560975609756
