method,representation,external_n,auroc_external_macro,auroc_worst_external,auprc_external_macro,auprc_worst_external,f1_external_macro
classical_anchor_matched,fusion_absolute,2,0.4472292045061408,0.4280585106382978,0.02889120838759672,0.006051555372068362,0.04101478116443093
classical_anchor_matched,fusion_shape,2,0.6537307018681888,0.6276595744680851,0.3672346638362218,0.3331375070335548,0.05502257485926098
classical_anchor_matched,pressure_absolute,2,0.5184833668482962,0.5099720528455285,0.06144541906648782,0.0105087604339489,0.057496568030434195
classical_anchor_matched,pressure_shape,2,0.6357085711814565,0.6254065040650406,0.2223444556943277,0.15543433986828978,0.06068912805498017
classical_anchor_matched,temperature,2,0.8049650795710085,0.7345744680851064,0.5588226643528109,0.5243151864657732,0.06568738102943332
racdiff,fusion_absolute,2,0.4716244486248054,0.4538871951219512,0.0393934502255148,0.009621899786201624,0.0429284638224904
racdiff,fusion_shape,2,0.7055151033558208,0.6529255319148937,0.386454075260492,0.3682065752849744,0.055619198928120776
racdiff,pressure_absolute,2,0.39757043547829096,0.38337765957446807,0.09932748186637615,0.06779428906991353,0.0335582007182782
racdiff,pressure_shape,2,0.7033269006227296,0.6891006097560975,0.21847180821771514,0.17732709709666833,0.0702717701920435
racdiff,temperature,2,0.8702027655249958,0.8553191489361702,0.7416505473682491,0.7122850995768161,0.07216760095831397
real_only,fusion_absolute,2,0.3902848501556824,0.34493140243902437,0.06711507728032605,0.00468487849364105,0.08128843079222219
real_only,fusion_shape,2,0.6625475696246323,0.6396276595744681,0.3165114750767458,0.17917969206322487,0.08643342397189004
real_only,pressure_absolute,2,0.672804229372081,0.6051829268292683,0.1497575875963511,0.018619617332534612,0.089295814479638
real_only,pressure_shape,2,0.7023665888254627,0.6433510638297872,0.22669369506826423,0.11365351995541907,0.054278303449476616
real_only,temperature,2,0.8610104761286974,0.839627659574468,0.5288560967814833,0.4800629828875296,0.101009997528924
