external,method,representation,source_pair_count,auroc_mean_over_source_pairs,auroc_worst_source_pair,auprc_mean_over_source_pairs,auprc_worst_source_pair,f1_mean_over_source_pairs,balanced_acc_mean_over_source_pairs
NMC111,classical_anchor_matched,fusion_absolute,8,0.4663998983739837,0.00630081300813,0.006051555372068362,0.0030484827244408,0.0079448084759364,0.492505081300813
NMC111,classical_anchor_matched,fusion_shape,8,0.6798018292682926,0.0172764227642276,0.3331375070335548,0.0030752312227756,0.010386996983743863,0.5145452235772358
NMC111,classical_anchor_matched,pressure_absolute,8,0.5099720528455285,0.0065040650406504,0.0105087604339489,0.0030494912366816,0.015367634854370975,0.5278201219512195
NMC111,classical_anchor_matched,pressure_shape,8,0.6254065040650406,0.0152439024390243,0.15543433986828978,0.0030721520764967,0.018781457851019763,0.5387703252032521
NMC111,classical_anchor_matched,temperature,8,0.8753556910569106,0.1158536585365853,0.5933301422398486,0.0033864437741261,0.0100603621730382,0.5
NMC111,racdiff,fusion_absolute,8,0.4538871951219512,0.0006097560975609,0.009621899786201624,0.003038087181521,0.008415843797461537,0.5099085365853658
NMC111,racdiff,fusion_shape,8,0.7581046747967479,0.0286585365853658,0.3682065752849744,0.0031046047866773,0.010723643905787438,0.5252159552845528
NMC111,racdiff,pressure_absolute,8,0.4117632113821138,0.0024390243902438,0.13086067466283877,0.0030405777904575,0.016407133847067552,0.43573424796747967
NMC111,racdiff,pressure_shape,8,0.6891006097560975,0.0491869918699187,0.17732709709666833,0.003153473274685,0.0012588116817724,0.4292428861788618
NMC111,racdiff,temperature,8,0.8850863821138212,0.0855691056910569,0.7710159951596822,0.0032866914361882,0.0100603621730382,0.5
NMC111,real_only,fusion_absolute,8,0.34493140243902437,0.0002032520325203,0.00468487849364105,0.0030376732262613,0.0063268615844444005,0.5019054878048781
NMC111,real_only,fusion_shape,8,0.6854674796747967,0.2121951219512195,0.17917969206322487,0.0037538026102793,0.01175103464947955,0.5548780487804879
NMC111,real_only,pressure_absolute,8,0.6051829268292683,0.0101626016260162,0.018619617332534612,0.0032242858323152,0.010416666666666663,0.5494156504065041
NMC111,real_only,pressure_shape,8,0.7613821138211382,0.399390243902439,0.11365351995541907,0.005003531101971,0.007027511723076125,0.5645071138211382
NMC111,real_only,temperature,8,0.8823932926829268,0.13130081300813,0.4800629828875296,0.003478274503719,0.0100603621730382,0.5
NMC811,classical_anchor_matched,fusion_absolute,8,0.4280585106382978,0.0042553191489361,0.05173086140312508,0.0307880283076993,0.07408475385292546,0.4920212765957447
NMC811,classical_anchor_matched,fusion_shape,8,0.6276595744680851,0.0340425531914893,0.4013318206388887,0.0315037829553958,0.0996581527347781,0.5377659574468084
NMC811,classical_anchor_matched,pressure_absolute,8,0.5269946808510638,0.0042553191489361,0.11238207769902675,0.0307880283076993,0.09962550120649741,0.5102393617021277
NMC811,classical_anchor_matched,pressure_shape,8,0.6460106382978723,0.1,0.28925457152036566,0.0335248236628155,0.10259679825894057,0.5276595744680851
NMC811,classical_anchor_matched,temperature,8,0.7345744680851064,0.0170212765957446,0.5243151864657732,0.0309330960059585,0.12131439988582843,0.6003989361702128
NMC811,racdiff,fusion_absolute,8,0.4893617021276596,0.0,0.06916500066482797,0.0307217722420032,0.07744108384751927,0.5033244680851063
NMC811,racdiff,fusion_shape,8,0.6529255319148937,0.0340425531914893,0.4047015752360097,0.0315437239449936,0.10051475395045412,0.5382978723404255
NMC811,racdiff,pressure_absolute,8,0.38337765957446807,0.0,0.06779428906991353,0.0307217722420032,0.050709267589488835,0.4441489361702128
NMC811,racdiff,pressure_shape,8,0.7175531914893617,0.1787234042553191,0.25961651933876195,0.0367103886798934,0.13928472870231462,0.6575797872340425
NMC811,racdiff,temperature,8,0.8553191489361702,0.0085106382978723,0.7122850995768161,0.0308342817767095,0.13427483974358972,0.6203457446808511
NMC811,real_only,fusion_absolute,8,0.43563829787234043,0.0446808510638297,0.12954527606701105,0.0319321276083117,0.15624999999999997,0.5591755319148937
NMC811,real_only,fusion_shape,8,0.6396276595744681,0.1297872340425531,0.4538432580902667,0.0348550599569671,0.16111581329430053,0.660904255319149
NMC811,real_only,pressure_absolute,8,0.7404255319148936,0.1170212765957446,0.2808955578601676,0.0505050505050505,0.16817496229260934,0.6961436170212766
NMC811,real_only,pressure_shape,8,0.6433510638297872,0.2021276595744681,0.3397338701811094,0.0376417294571703,0.1015290951758771,0.5591755319148937
NMC811,real_only,temperature,8,0.839627659574468,0.1,0.5776492106754368,0.0336756478854573,0.1919596328848098,0.6152925531914893
