horizon_s,temp_cap_c,temperature_auroc,force_auroc,fusion_auroc,force_gain_vs_temp,fusion_gain_vs_temp,worst_fusion_auroc
900,120,0.9691804407713498,0.5069221903637487,0.9994331065759637,-0.46225825040760105,0.030252665804613943,0.9977324263038548
900,150,0.9711263579188107,0.727903370167521,0.9869925671812464,-0.2432229877512897,0.01586620926243565,0.9479702687249857
900,200,0.974915824915825,0.77252886002886,0.9817760942760942,-0.20238696488696495,0.006860269360269289,0.9281144781144781
600,150,0.9996843434343434,0.9361086641609897,0.999447601010101,-0.06357567927335372,-0.00023674242424243097,0.9977904040404041
600,200,1.0,0.9178940568475452,0.9873842592592593,-0.08210594315245479,-0.012615740740740677,0.95
300,200,0.9999338624338625,0.975,0.975,-0.02493386243386253,-0.02493386243386253,0.9
