experiment,field,unit,value,source_row,source_col
TS0330D,voltage_before_TR,V,3.82946430021302,6,20
TS0330D,CellVoltageDropFiftyPer_CellCaseT,°C,130.834075927734,6,21
TS0330D,FiveSecBefNinetyPerSecVentStart CellCaseT,,190.202377319336,6,22
TS0330D,OneSecBefNinetyPerSecVentStart_CellSurfMaxT,,194.938446044922,6,23
TS0330D,OneSecBefNinetyPerSecVentStart_CellSurfMaxTSensorCapt,,TK2,6,24
TS0330D,FiveSecBefNinetyPerSecVentStart_CellSurfMaxT,,190.202377319336,6,25
TS0330D,FiveSecBefNinetyPerSecVentStart_CellSurfMaxTSensorCapt,,TK2,6,26
TS0330D,NinetyPerSecVentStart_CellCaseT,,196.816772460938,6,27
TS0330D,max_cell_temperature,,565.219360351563,6,28
TS0330D,max_cell_temperature_sensor_name,,TK2,6,29
TS0330D,max vent gas temperature,,1501.57104492188,6,30
TS0330D,max gas temperature,,52.4823799133301,6,31
TS0330D,max over pressure,bar,0.384428957966717,6,32
TS0330D,first venting n,mol,0,6,33
TS0330D,second venting n,,0.334755688905228,6,34
TS0330D,temperature of produced not condensated gas,°C,31.2364218759626,6,37
TS0330D,max rate 50per pressure corrected,mol/s,0.643774541583809,6,39
TS0330D,max rate 90per pressure corrected,,0.614860068362281,6,40
TS0330D,min_time_50per_pressure,s,0.259994506835938,6,41
TS0330D,min_time_90per_pressure,,0.489997863769531,6,42
TS0330D,Max_Rate_50per_Pressure_Corrected_SATP,l/s (SATP),15.7080988146449,6,43
TS0330D,Max_Rate_90per_Pressure_Corrected_SATP,,15.0025856680396,6,44
TS0330D,post_thermal_runaway_amount_of_gas,mol,7.05191386427894,6,79
TS0330E,experiment designation,,TS0330E,7,0
TS0330E,cell_type_id,,BAK_N21700CG-50,7,5
TS0330E,soc,%,60,7,14
TS0330E,voltage_before_TR,V,3.83137877225876,7,20
TS0330E,CellVoltageDropFiftyPer_CellCaseT,°C,120.604774475098,7,21
TS0330E,FiveSecBefNinetyPerSecVentStart CellCaseT,,173.186614990234,7,22
TS0330E,OneSecBefNinetyPerSecVentStart_CellSurfMaxT,,178.49397277832,7,23
TS0330E,OneSecBefNinetyPerSecVentStart_CellSurfMaxTSensorCapt,,TK2,7,24
TS0330E,FiveSecBefNinetyPerSecVentStart_CellSurfMaxT,,173.186614990234,7,25
TS0330E,FiveSecBefNinetyPerSecVentStart_CellSurfMaxTSensorCapt,,TK2,7,26
