heldout,method,model,representation,pair_count,mae_s,rmse_s,medae_s,r2,bias_s,aug_mean
TS0330A,classical_anchor_matched,huber,fusion_absolute,3,187.69572485156868,191.59671824092206,186.51835663023704,-2.459537925113627,7.406316028693898,40.666666666666664
TS0330A,classical_anchor_matched,huber,fusion_shape,3,47.065886516508044,52.92550708718226,49.11097354482115,0.7870745706348199,7.625256649242974,40.666666666666664
TS0330A,classical_anchor_matched,huber,pressure_absolute,3,268.2889310693289,291.32436973770996,241.48846999607542,-6.603720922271681,86.2440632453925,40.666666666666664
TS0330A,classical_anchor_matched,huber,pressure_shape,3,125.30816143370807,148.27833249276446,111.42637039947344,-0.5896896425100872,-32.40447835667732,40.666666666666664
TS0330A,classical_anchor_matched,huber,temperature,3,29.77728852190369,32.38568547402314,28.964292191478723,0.8917046791216586,19.575007146970204,40.666666666666664
TS0330A,classical_anchor_matched,rf,fusion_absolute,3,42.2599818257498,68.52976342098596,26.703289684105908,0.6631716471202956,-9.030275357370414,40.666666666666664
TS0330A,classical_anchor_matched,rf,fusion_shape,3,42.74675024286963,69.70339432589105,27.592241780125715,0.6511344502254254,-11.041496459865854,40.666666666666664
TS0330A,classical_anchor_matched,rf,pressure_absolute,3,107.45593247683674,126.67120503913237,94.18465587679788,-0.15390351569939123,25.281492162140307,40.666666666666664
TS0330A,classical_anchor_matched,rf,pressure_shape,3,109.68035788869457,137.40639661394593,96.64862601025713,-0.36060855194277214,-35.53673326916368,40.666666666666664
TS0330A,classical_anchor_matched,rf,temperature,3,42.77800798484403,69.40582740147289,27.828342693446018,0.6538200797556621,-10.416867113269491,40.666666666666664
TS0330A,racdiff,huber,fusion_absolute,3,180.30138584498164,183.9578244470456,178.25754674931906,-2.1348181547734346,4.274931136041251,40.666666666666664
TS0330A,racdiff,huber,fusion_shape,3,35.33580075403409,41.549202775463506,30.910870541336653,0.8585808608206279,8.984465137829368,40.666666666666664
TS0330A,racdiff,huber,pressure_absolute,3,184.2723289793872,214.36515545669627,153.18585628894266,-2.595352581943003,9.18238656518603,40.666666666666664
TS0330A,racdiff,huber,pressure_shape,3,124.23905855813989,150.05855426048763,114.88739648377123,-0.635107574423907,-36.40103033358354,40.666666666666664
TS0330A,racdiff,huber,temperature,3,28.63829280624663,32.45532939848107,27.064447094707116,0.9045843854798234,9.476288801305886,40.666666666666664
TS0330A,racdiff,rf,fusion_absolute,3,39.35156747885879,62.17452752954889,27.792541975301106,0.7126277099796895,-5.382071686251586,40.666666666666664
