method,model,representation,mae_mean_s,mae_worst_s,rmse_mean_s,medae_mean_s,r2_mean
classical_anchor_matched,huber,fusion_absolute,186.49522302858648,375.282252450573,188.56418732201155,184.55893967954597,-5.818369641413835
classical_anchor_matched,huber,fusion_shape,58.28953626883806,83.99958152674309,68.95850611686737,55.2879046372004,0.294297333129043
classical_anchor_matched,huber,pressure_absolute,205.9342889451102,290.77339898239103,236.96912939143812,187.2206391714573,-6.419400596854507
classical_anchor_matched,huber,pressure_shape,123.40279406808193,153.69291820589865,150.8417480778775,107.27430451415472,-1.5247064766739409
classical_anchor_matched,huber,temperature,49.575680191640465,80.73788350284747,54.939284573571314,47.188138092165225,0.5990931405745423
classical_anchor_matched,rf,fusion_absolute,50.670190165483824,78.98121588504969,57.108779918242504,48.20361497127962,0.6173790847352787
classical_anchor_matched,rf,fusion_shape,53.033716978109716,83.35700112922302,59.291655113135576,49.66492897184108,0.5840486812315928
classical_anchor_matched,rf,pressure_absolute,101.00836187757466,126.87246608760093,121.21775041225456,86.49489484582004,-0.5492141543781041
classical_anchor_matched,rf,pressure_shape,100.32755883403327,109.68035788869457,120.21150304494103,92.3875646625125,-0.47130864449854826
classical_anchor_matched,rf,temperature,52.64003152839531,84.64571474010212,58.49976527680123,51.472004954309554,0.5858195980516191
racdiff,huber,fusion_absolute,179.3972028933394,346.2793778492898,181.44184421916788,178.49148474572337,-5.480858109498628
racdiff,huber,fusion_shape,54.18433276169352,78.07677755373767,59.03906374336772,52.76191626245128,0.5911141696275148
racdiff,huber,pressure_absolute,148.42806913724996,186.1571650299433,174.48453330929894,134.73902877630974,-2.283679584746004
racdiff,huber,pressure_shape,112.5768006501399,140.4724629182068,135.86594436240904,100.47090826780001,-0.9819583600126208
racdiff,huber,temperature,49.71461874682997,81.09325855039114,52.790797199887315,48.155091528645336,0.6297140700197139
racdiff,rf,fusion_absolute,52.054100162507666,81.83866829236457,57.85833680715554,51.09255678959944,0.6056819201485616
racdiff,rf,fusion_shape,52.296086105286996,83.34698907767812,57.83782901134178,51.078840023291264,0.598113633337722
racdiff,rf,pressure_absolute,91.60735040278318,113.92417692822686,110.30453766009992,79.22658026230506,-0.29211789993137066
racdiff,rf,pressure_shape,100.06286913454379,115.39409371017511,118.5481218996991,93.2710206400167,-0.4421519975397298
racdiff,rf,temperature,52.47039092477297,84.18213166897277,57.491427761543235,51.99711921410954,0.5940973074064587
real_only,huber,fusion_absolute,211.19394420226212,437.62167998666314,215.34488903890963,208.00544398928997,-8.568712097863854
real_only,huber,fusion_shape,63.20637315483774,87.26446817674928,78.0254205089248,58.43024579675179,0.11704896948385617
real_only,huber,pressure_absolute,235.24212476446257,559.0572481576447,260.22530211300267,217.80750884944254,-13.113737104012635
real_only,huber,pressure_shape,111.13019891893751,146.06209441261964,132.34340614820246,99.69489763366413,-0.8547679618235509
real_only,huber,temperature,55.898184279838304,81.930007441233,70.33322245876172,48.89224239568965,0.19716958752066538
real_only,rf,fusion_absolute,52.279597914313605,81.17778053143938,58.098500022432965,49.964861404477126,0.5981598739423994
real_only,rf,fusion_shape,53.21912635616853,82.57188554376948,59.26009383915783,50.862447026247814,0.5790496149655351
real_only,rf,pressure_absolute,90.36369521183545,121.49777017469376,108.87324861764635,79.51903176702913,-0.24895885518887723
real_only,rf,pressure_shape,99.50184640904598,110.7163885967668,118.39995261766033,89.6761160632523,-0.45834145529168424
real_only,rf,temperature,52.71390174645117,83.22841371301232,57.44724923862949,50.48630053642866,0.5962627633647068
