contrast,metric,mean_delta_s,ci95_low_s,ci95_high_s,improved_experiments,n_experiments,exact_signflip_p
racdiff-real_only,mae_s,-31.796741308922726,-53.378625776631395,-12.864913216147187,8,8,0.0078125
racdiff-real_only,rmse_s,-33.90304481974175,-56.09965317810177,-13.394081293603547,8,8,0.0078125
classical-real_only,mae_s,-24.69872117367564,-42.32457341290872,-8.368587558644252,6,8,0.046875
classical-real_only,rmse_s,-26.780701716898083,-44.253159227038495,-9.855838510179435,6,8,0.046875
racdiff-classical_anchor_matched,mae_s,-7.098020135247085,-16.53702222216128,1.695491761697134,6,8,0.25
racdiff-classical_anchor_matched,rmse_s,-7.122343102843665,-17.330709142137486,1.8884606336543595,6,8,0.2734375
