representation,auroc_mean,auroc_worst,auprc_mean,auprc_worst,f1_mean,balanced_acc_mean
force_absolute,0.5069221903637487,0.0,0.5508833615345776,0.1668359285462916,0.26378667773094866,0.5532828282828283
force_shape,0.7041149766363577,0.6446280991735537,0.41927140776791794,0.30606509245287483,0.39703225463627184,0.6113060042938092
fusion_absolute,0.9994331065759637,0.9977324263038548,0.9994525823014195,0.9978103292056781,0.7087029569892473,0.8155483405483406
fusion_shape,0.9949670639605704,0.9855371900826446,0.9890784774890573,0.9619143589000049,0.819754695126996,0.8755939182768451
temperature,0.9691804407713498,0.8767217630853994,0.9473108357497205,0.7892433429988821,0.8308614043908161,0.8879672157111181
