group,candidates,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,fail_feature_only_or_combined,fail_memorization_floor,fail_ood_ceiling,fail_amplitude,feature_z_median,nearest_real_median
age0_stage0,60,53,60,60,60,53,0,0,0,7,1.6033798456192017,0.026425607502460452
age0_stage1,60,1,41,60,60,2,19,0,0,58,4.6684489250183105,0.07779539749026296
age0_stage2,60,46,46,60,60,60,14,0,0,0,2.6205313205718994,0.042660104110836955
age1_stage0,60,41,42,60,60,53,18,0,0,7,3.9018094539642334,0.0353937186300754
age1_stage1,60,0,43,2,60,4,17,58,0,56,4.412125825881958,0.07961928471922869
age1_stage2,60,56,57,60,60,56,3,0,0,4,1.4222548007965088,0.04876585304737085
