heldout,train_fraction,method,modality,n_real_train,n_aug,n_test,test_positive,auroc,auprc,f1,balanced_accuracy
M1,0.25,racdiff,temperature,60,151,140,41,1.0,1.0,0.9210526315789472,0.9268292682926828
M1,0.25,racdiff,force,60,151,140,41,0.6156688839615669,0.3244597539790856,0.5142857142857142,0.64239960581424
M1,0.25,racdiff,fusion,60,151,140,41,1.0,1.0,0.9010989010989012,0.9545454545454546
M2,0.25,real_only,temperature,75,0,84,42,1.0,1.0,0.9879518072289156,0.988095238095238
M2,0.25,real_only,force,75,0,84,42,0.1933106575963718,0.3923298861135845,0.0,0.5
M2,0.25,real_only,fusion,75,0,84,42,1.0,1.0,0.8493150684931506,0.8690476190476191
M2,0.25,classical,temperature,75,140,84,42,1.0,1.0,1.0,1.0
M2,0.25,classical,force,75,140,84,42,0.2573696145124716,0.4286722510381864,0.0909090909090909,0.5238095238095238
M2,0.25,classical,fusion,75,140,84,42,1.0,1.0,0.8493150684931506,0.8690476190476191
M2,0.25,racdiff,temperature,75,140,84,42,1.0,1.0,0.95,0.9523809523809524
M2,0.25,racdiff,force,75,140,84,42,0.1763038548752834,0.3881561889255085,0.0,0.5
M2,0.25,racdiff,fusion,75,140,84,42,0.9892290249433108,0.9893377580184196,0.6666666666666666,0.75
