heldout,train_fraction,method,modality,n_real_train,n_aug,n_test,test_positive,auroc,auprc,f1,balanced_accuracy
M2,1.0,real_only,temperature,301,0,84,42,1.0,1.0,0.9629629629629629,0.9642857142857143
M2,1.0,real_only,force,301,0,84,42,0.21088435374149658,0.3989290209190334,0.0,0.5
M2,1.0,real_only,fusion,301,0,84,42,0.9977324263038548,0.9978103292056781,0.7076923076923077,0.7738095238095238
M2,1.0,classical,temperature,301,158,84,42,1.0,1.0,0.9629629629629629,0.9642857142857143
M2,1.0,classical,force,301,158,84,42,0.25170068027210885,0.4184791184147103,0.0,0.5
M2,1.0,classical,fusion,301,158,84,42,0.9903628117913832,0.9904286821929675,0.7076923076923077,0.7738095238095238
M2,1.0,racdiff,temperature,301,158,84,42,1.0,1.0,0.95,0.9523809523809523
M2,1.0,racdiff,force,301,158,84,42,0.17970521541950113,0.3908782008795353,0.0,0.5
M2,1.0,racdiff,fusion,301,158,84,42,0.9869614512471655,0.9871048989322351,0.6666666666666666,0.75
