group,candidates,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,fail_feature_only_or_combined,fail_memorization_floor,fail_ood_ceiling,fail_amplitude,feature_z_median,nearest_real_median
age0_stage0,60,4,4,60,60,60,56,0,0,0,7.916790723800659,0.05049962177872655
age0_stage1,60,58,58,60,60,60,2,0,0,0,4.655634641647339,0.08263030275702471
age0_stage2,60,57,57,60,60,60,3,0,0,0,2.5288593769073486,0.051369084045290905
age1_stage0,60,1,1,60,60,60,59,0,0,0,9.120527744293213,0.0436975806951522
age1_stage1,60,60,60,60,60,60,0,0,0,0,4.351417541503906,0.06553607434034339
age1_stage2,60,54,54,60,60,60,6,0,0,0,3.0617469549179077,0.0456585437059402
