group,candidates,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,fail_feature_only_or_combined,fail_memorization_floor,fail_ood_ceiling,fail_amplitude,feature_z_median,nearest_real_median
age0_stage0,60,60,60,60,60,60,0,0,0,0,1.9794737696647644,0.04676048085093495
age0_stage1,60,25,25,60,60,60,35,0,0,0,5.106616258621216,0.0539252571761608
age0_stage2,60,22,22,60,60,60,38,0,0,0,6.125274658203125,0.02044376078993075
age1_stage0,60,58,58,60,60,60,2,0,0,0,1.5712206363677979,0.05441907420754425
age1_stage1,60,35,35,60,60,60,25,0,0,0,4.923351287841797,0.053463967517018304
age1_stage2,60,14,14,60,60,60,46,0,0,0,6.068957090377808,0.0205853441730141
