group,n_real,n_synthetic,feature_smd_mean,feature_smd_max,feature_range_coverage,real_real_nn_median,synthetic_real_nn_median,nn_ratio,mmd2,mmd_sigma
overall,174,121,0.8809913606288007,2.371930510784437,0.8292011019283747,0.0246390743993405,0.3789441456362138,15.379804431547836,0.5974134969253043,4.267020265728377
age0_stage0,20,7,1.8014658605055436,4.941775356020246,0.6,0.015079588517705734,0.8055189652871421,53.41783460081421,0.6625698821096115,0.8280110385443696
age0_stage1,2,4,8.762158137723576,73.9291562139988,0.18333333333333332,1.1537792100612756,0.9871492453290567,0.8555789848879584,0.7146664787923871,6.526760827411091
age0_stage2,77,73,1.7396649894917227,4.756036053737393,0.5680365296803653,0.0246390743993405,0.4903190561492331,19.90005988870902,1.083255232146638,2.257419364693813
age1_stage0,45,0,,,,,,,,
age1_stage1,5,4,4.709786626868716,17.498092705565988,0.18333333333333332,0.7794679436938291,0.7270067919280185,0.932696203621663,0.3163496757549553,7.20027889552188
age1_stage2,25,33,1.0819207003196079,3.2069663128165526,0.7111111111111111,0.05068410744333435,0.3803516917275526,7.504358090014547,0.8510330174771763,2.432647669382926
