group,candidates,accepted,pass_feature,pass_memorization_floor,pass_ood_ceiling,pass_amplitude,fail_feature_only_or_combined,fail_memorization_floor,fail_ood_ceiling,fail_amplitude,feature_z_median,nearest_real_median
age0_stage0,60,55,55,60,60,60,5,0,0,0,1.8431637883186343,0.037023667246103245
age0_stage1,60,23,23,60,60,60,37,0,0,0,5.154796600341797,0.04395173303782935
age0_stage2,60,26,26,60,60,60,34,0,0,0,5.738934278488159,0.02143293060362335
age1_stage0,60,59,59,60,60,60,1,0,0,0,1.4110247492790222,0.035499999299645396
age1_stage1,60,29,29,60,60,60,31,0,0,0,5.038550615310669,0.039707789197564056
age1_stage2,60,10,10,60,60,60,50,0,0,0,6.15176796913147,0.0181919932365417
