first_column_name,first_column_min,first_column_max,unique_first_values,n_unique_first_values,reset_count,ms_like,reconstructed_duration_s,median_positive_dt_s,sampling_hz,nonpositive_dt_count,temperature_file,temperature_rows,temperature_channels,force_file,force_rows,force_t_start,force_t_end,force_duration_s,temperature_force_duration_ratio,experiment_id
ms,0.0,800.0,"[0.0, 200.0, 400.0, 600.0, 800.0]",5,4413,True,4413.6,0.1999999999999993,5.000000000000018,0,data/raw/osf_c2hnq/Dataset_TR/Dataset_TR/Module/NMC pouch/Fresh/M1_Temperature.csv,22069,15,data/raw/osf_c2hnq/Dataset_TR/Dataset_TR/Module/NMC pouch/Fresh/M1_Force.csv,4966,1.0,4966.0,4965.0,0.8889425981873113,M1
ms,0.0,800.0,"[0.0, 200.0, 400.0, 600.0, 800.0]",5,4717,True,4717.6,0.19999999999998863,5.000000000000284,0,data/raw/osf_c2hnq/Dataset_TR/Dataset_TR/Module/NMC pouch/Aged/M2_Temperature.csv,23589,15,data/raw/osf_c2hnq/Dataset_TR/Dataset_TR/Module/NMC pouch/Aged/M2_Force.csv,3876,1.0,3876.0,3875.0,1.2174451612903228,M2
