contrast,metric,mean_delta,ci95_low,ci95_high,improved_experiments,n_experiments,exact_signflip_p
racdiff-real_only,auroc,0.04127552403861692,0.004661548788278028,0.10430845070790722,6,8,0.046875
racdiff-real_only,auprc,0.052954923772164625,0.010212446929329495,0.10875692324829958,7,8,0.015625
classical-real_only,auroc,0.012845899510507547,0.00223541151365593,0.024399751483084847,6,8,0.109375
classical-real_only,auprc,0.028402909705131207,0.003258684645561727,0.06172627275124588,6,8,0.078125
racdiff-classical_classmatched,auroc,0.028429624528109376,-0.003314193522526848,0.08577491181657847,3,8,0.4375
racdiff-classical_classmatched,auprc,0.024552014067033417,-0.005592841276688645,0.07744169240851372,3,8,0.625
