heldout,train_experiments,method,representation,n_real_train_windows,n_aug,n_aug_positive,n_aug_negative,n_test_windows,test_positive,auroc,auprc,f1,balanced_accuracy
TS0330A,TS0330F+TS0330G,classical_classmatched,fusion_absolute,64,0,0,0,41,11,1.0,1.0,0.4230769230769231,0.5
TS0330A,TS0330F+TS0330G,classical_classmatched,fusion_shape,64,0,0,0,41,11,0.8515151515151516,0.6404911940797108,0.6666666666666666,0.8166666666666667
TS0330A,TS0330F+TS0330G,racdiff,temperature,64,0,0,0,41,11,1.0,1.0,0.7333333333333333,0.8666666666666667
TS0330A,TS0330F+TS0330G,racdiff,pressure_absolute,64,0,0,0,41,11,0.9242424242424244,0.8495418582105888,0.5238095238095238,0.6666666666666666
TS0330A,TS0330F+TS0330G,racdiff,pressure_shape,64,0,0,0,41,11,0.6151515151515151,0.3280590033478295,0.5365853658536586,0.6833333333333333
TS0330A,TS0330F+TS0330G,racdiff,fusion_absolute,64,0,0,0,41,11,1.0,1.0,0.4230769230769231,0.5
TS0330A,TS0330F+TS0330G,racdiff,fusion_shape,64,0,0,0,41,11,0.8515151515151516,0.6404911940797108,0.6666666666666666,0.8166666666666667
TS0330B,TS0330C+TS0330D,real_only,temperature,65,0,0,0,41,8,1.0,1.0,0.64,0.8636363636363636
TS0330B,TS0330C+TS0330D,real_only,pressure_absolute,65,0,0,0,41,8,0.8181818181818181,0.3984886641136641,0.0,0.5
TS0330B,TS0330C+TS0330D,real_only,pressure_shape,65,0,0,0,41,8,0.4507575757575757,0.1839391280178446,0.1052631578947368,0.4109848484848485
TS0330B,TS0330C+TS0330D,real_only,fusion_absolute,65,0,0,0,41,8,0.8939393939393939,0.6601648351648352,0.0,0.5
TS0330B,TS0330C+TS0330D,real_only,fusion_shape,65,0,0,0,41,8,0.9696969696969696,0.874440836940837,0.8421052631578947,0.9545454545454546
TS0330B,TS0330C+TS0330D,classical_classmatched,temperature,65,23,16,7,41,8,1.0,1.0,0.7272727272727273,0.9090909090909092
TS0330B,TS0330C+TS0330D,classical_classmatched,pressure_absolute,65,23,16,7,41,8,0.553030303030303,0.2188678070902714,0.0,0.5
TS0330B,TS0330C+TS0330D,classical_classmatched,pressure_shape,65,23,16,7,41,8,0.2424242424242424,0.1417033747585818,0.0,0.3484848484848485
TS0330B,TS0330C+TS0330D,classical_classmatched,fusion_absolute,65,23,16,7,41,8,1.0,1.0,0.0,0.5
